AppID,Genres,total_review_num,total_pos_num,total_neg_num
20200,"Casual,Indie,Sports",8,1,7
655370,"Action,Indie",20,17,3
1732930,"Action,Adventure,Indie,Strategy",0,0,0
1355720,"Adventure,Casual,Indie",0,0,0
1139950,"Adventure,Indie",10,8,2
1469160,"Adventure,Casual,Free to Play,Massively Multiplayer,RPG,Strategy",0,0,0
1659180,"Indie,Strategy",13,10,3
1968760,Casual,0,0,0
1178150,"Adventure,RPG,Simulation,Strategy",19,19,0
320150,"Action,Adventure,Indie",21,15,6
1026420,"Indie,RPG",241,183,58
485000,Strategy,13,8,5
1620060,"Casual,Indie",4,4,0
825930,"Casual,Indie",15,11,4
1454010,"Action,Adventure,Indie,RPG,Strategy,Early Access",5,4,1
22670,Action,125,87,38
1330820,"Action,Casual,Simulation,Sports",13,13,0
346560,"Adventure,Casual,Indie,RPG",574,538,36
1097880,"Casual,Indie",301,244,57
1362670,"Action,Adventure,Casual,Indie,Early Access",3,2,1
290870,"Indie,Strategy",22,8,14
575760,"Action,Adventure,Casual,Indie",10,4,6
434030,"Action,Indie,Racing,Simulation",1117,886,231
810740,"Action,Adventure,Casual,Indie",0,0,0
2073470,"Massively Multiplayer,Racing,Simulation,Sports",648,575,73
589250,"Action,Indie,Simulation",47,28,19
677880,Casual,8,5,3
1294780,Casual,26,26,0
1342850,"Casual,Indie,Simulation,Strategy",18,15,3
1177420,"Adventure,Casual,Indie,RPG,Simulation",280,258,22
793990,"Casual,Indie",6,3,3
1727670,Utilities,2,1,1
955490,"Adventure,Indie",5,3,2
552350,"Adventure,Indie,RPG",17,9,8
42500,"Action,Indie",153,96,57
1195610,"Action,Strategy,Early Access",0,0,0
1095380,Casual,5,3,2
1158910,"Adventure,Casual,Indie",7,5,2
1194940,"Indie,RPG",17,13,4
262150,"Action,Casual,Indie",796,538,258
1192900,"Action,Indie,Early Access",165,137,28
866150,"Adventure,Casual,Indie",3,2,1
231330,"Action,Adventure",494,360,134
1056520,Indie,7,5,2
897820,"Adventure,Indie,RPG",234,167,67
658970,"Casual,Free to Play,Indie,Massively Multiplayer,RPG,Simulation",0,0,0
1777550,"Action,Adventure,Indie",0,0,0
552520,"Action,Adventure",47603,37759,9844
718350,"Adventure,Casual,Indie,Simulation,Strategy",3,0,3
433450,"Action,RPG",46,29,17
1709450,"Adventure,Casual",6,5,1
1431470,"Adventure,Indie",1,1,0
1794920,"Adventure,Indie",6,3,3
1959480,"Action,Adventure,RPG",0,0,0
763550,"Action,Adventure,RPG",3,2,1
1445370,"Action,Indie,Early Access",3,2,1
464230,"Casual,Indie",26,20,6
1293830,Racing,25715,23029,2686
1509640,"Action,Adventure,Indie,RPG",9,0,9
1135380,Indie,2,1,1
1944730,"Adventure,Indie",3,3,0
1144900,"Action,Casual",0,0,0
306350,"Action,Racing,Sports",21,19,2
1684530,Casual,6,4,2
1557480,"Action,Adventure,RPG,Simulation,Strategy,Early Access",173,122,51
1128520,"Indie,Strategy",6,6,0
12140,Action,4752,4157,595
1647430,"Action,Adventure,Indie",0,0,0
1845050,"Adventure,Casual,Indie",11,11,0
1163340,"Simulation,Strategy",121,107,14
1608620,"Action,Casual,Indie,Early Access",0,0,0
541570,"Adventure,Indie",4853,4724,129
1119070,"Action,Indie",0,0,0
1292520,"Adventure,Indie",38,33,5
1467330,"Action,Indie",0,0,0
1624600,"Action,Adventure,Casual,Indie,Racing,Early Access",1,1,0
870000,"Adventure,Casual,Indie,RPG,Strategy",0,0,0
1621490,Action,40,30,10
768060,"Action,Adventure,Indie",17,15,2
1746130,"Adventure,Strategy",1,1,0
1281400,"Action,Casual,Indie,Early Access",24,24,0
372890,"Adventure,Casual,Indie",5,1,4
1023420,"Adventure,Indie,Simulation,Strategy",0,0,0
1141880,"Action,Casual,Indie,Massively Multiplayer",6,5,1
1022840,"Action,Casual,Indie,Strategy",1,1,0
652160,"Action,Indie",1,1,0
968580,"Adventure,Casual,Indie,Simulation,Sports,Strategy",3,1,2
1131550,Adventure,44,33,11
1729790,"Action,Adventure,Free to Play,Indie",18,12,6
368080,"Action,Adventure,Indie,RPG",66,55,11
572510,"Action,Adventure,Casual,Indie",5,5,0
1225870,"Indie,Simulation",25,19,6
1232510,"Free to Play,Massively Multiplayer,RPG,Simulation,Early Access",0,0,0
1066890,"Racing,Simulation,Sports",2078,1853,225
817370,"Free to Play,Simulation,Early Access",0,0,0
1662060,"Adventure,Casual,Indie,Simulation,Strategy",0,0,0
457140,"Indie,Simulation",32419,31073,1346
1774810,"Casual,Indie",1,0,1
1886290,"Casual,Simulation,Sports,Strategy,Early Access",2,2,0
